date,region,district,market,commodity,unit,pricetype,TSh,USD
2006-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,38464.29,32.7411
2006-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,63227.27,53.8196
2006-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,80714.29,68.7047
2006-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,34833.33,29.5699
2006-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,72727.27,61.7379
2006-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,65083.33,55.249
2006-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,31000.0,25.6198
2006-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,81961.54,67.7368
2006-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,46875.0,38.7397
2006-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,20545.45,16.7751
2006-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,73785.71,60.245
2006-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,49136.36,40.1192
2006-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,18461.54,15.4516
2006-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,106375.0,89.0316
2006-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,52346.15,43.8116
2006-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,18166.67,14.7697
2006-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,77791.67,63.2453
2006-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,56375.0,45.8333
2006-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,18333.33,14.4367
2006-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,72318.18,56.9473
2006-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,57000.0,44.8849
2006-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17000.0,13.4387
2006-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,74423.08,58.8325
2006-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,52000.0,41.1067
2006-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,15000.0,11.5723
2006-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,71916.67,55.4827
2006-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,49187.5,37.9475
2006-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,15700.0,12.2686
2006-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,79562.5,62.1734
2006-10-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,51010.0,39.8613
2006-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,16200.0,12.7851
2006-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,74450.0,58.7562
2006-11-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,50890.0,40.1626
2006-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17580.0,14.1626
2006-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,68687.5,55.3351
2006-12-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,50150.0,40.4012
2007-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,20100.0,16.1966
2007-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,73000.0,58.8235
2007-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,55200.0,44.4803
2007-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,21400.0,17.2483
2007-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,65500.0,52.7928
2007-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,55300.0,44.5716
2007-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,19600.0,15.8704
2007-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,64600.0,52.3077
2007-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,51400.0,41.6194
2007-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17500.0,13.8874
2007-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,64000.0,50.7882
2007-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,55600.0,44.1223
2007-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17100.0,13.7239
2007-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,57500.0,46.1477
2007-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,52000.0,41.7335
2007-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,27978.0,22.8448
2007-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,55600.0,45.3989
2007-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,52400.0,42.786
2007-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,13800.0,10.8428
2007-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,57700.0,45.3354
2007-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,51900.0,40.7783
2007-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,15300.0,12.1255
2007-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,58600.0,46.4416
2007-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,55900.0,44.3018
2007-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17300.0,13.8079
2007-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,53300.0,42.541
2007-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,53300.0,42.541
2007-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,17800.0,15.7466
2007-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,58900.0,52.1054
2007-10-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,55800.0,49.3631
2007-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,20400.0,18.2894
2007-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,62500.0,56.0337
2007-11-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,57700.0,51.7303
2007-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,24500.0,21.2669
2007-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,63400.0,55.0336
2007-12-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,67700.0,58.7662
2008-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,32400.0,28.3887
2008-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,75300.0,65.9774
2008-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,99200.0,86.9184
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,35600.0,31.7149
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,70300.0,62.6281
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,87100.0,77.5947
2008-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,29600.0,24.5846
2008-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,84000.0,69.7672
